"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Mar 08 10:18:18 GMT 2024","Fri Mar 08 10:18:18 GMT 2024","1","Testing Creation of Segment","","","","","segmentlist_testSegmentWithSameName",""
"passed","Fri Mar 08 10:18:18 GMT 2024","Fri Mar 08 10:18:55 GMT 2024","37095","Testing Creation of Segment","","","","","segmentlist_testDeletingAllSegmentRules",""
"passed","Fri Mar 08 10:18:55 GMT 2024","Fri Mar 08 10:19:16 GMT 2024","21419","Testing Creation of Segment","","","","","segmentlist_testSegCreationWithOutRules",""
"skipped","Fri Mar 08 10:18:18 GMT 2024","Fri Mar 08 10:18:18 GMT 2024","1","Testing Creation of Segment","","","","","segmentlist_addSegmentBtn_test",""
