"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Mar 08 10:50:53 GMT 2024","Fri Mar 08 10:50:53 GMT 2024","1","Testing Creation of Segment","","","","","segmentlist_addSegmentBtn_test",""
"skipped","Fri Mar 08 10:50:53 GMT 2024","Fri Mar 08 10:50:53 GMT 2024","0","Testing Creation of Segment","","","","","segmentlist_testSegmentWithSameName",""
"failed","Fri Mar 08 10:50:53 GMT 2024","Fri Mar 08 10:51:24 GMT 2024","31265","Testing Creation of Segment","","","","","segmentlist_testDeletingAllSegmentRules",""
"passed","Fri Mar 08 10:51:24 GMT 2024","Fri Mar 08 10:51:45 GMT 2024","21479","Testing Creation of Segment","","","","","segmentlist_testSegCreationWithOutRules",""
