"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 08 10:32:28 GMT 2024","Fri Mar 08 10:32:50 GMT 2024","21479","Testing Creation of Segment","","","","","segmentlist_testSegCreationWithOutRules",""
"skipped","Fri Mar 08 10:31:52 GMT 2024","Fri Mar 08 10:31:52 GMT 2024","1","Testing Creation of Segment","","","","","segmentlist_addSegmentBtn_test",""
"passed","Fri Mar 08 10:31:52 GMT 2024","Fri Mar 08 10:32:28 GMT 2024","36443","Testing Creation of Segment","","","","","segmentlist_testDeletingAllSegmentRules",""
"skipped","Fri Mar 08 10:31:52 GMT 2024","Fri Mar 08 10:31:52 GMT 2024","1","Testing Creation of Segment","","","","","segmentlist_testSegmentWithSameName",""
