"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Mar 08 16:43:16 GMT 2024","Fri Mar 08 16:44:56 GMT 2024","100003","Testing Creation of Segment","","","","","segmentlist_testDeletingAllSegmentRules",""
"skipped","Fri Mar 08 16:43:16 GMT 2024","Fri Mar 08 16:43:16 GMT 2024","1","Testing Creation of Segment","","","","","segmentlist_addSegmentBtn_test",""
"broken","Fri Mar 08 16:44:56 GMT 2024","Fri Mar 08 16:46:36 GMT 2024","100048","Testing Creation of Segment","","","","","segmentlist_testSegCreationWithOutRules",""
"skipped","Fri Mar 08 16:43:16 GMT 2024","Fri Mar 08 16:43:16 GMT 2024","0","Testing Creation of Segment","","","","","segmentlist_testSegmentWithSameName",""
